epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.687,1.59299,2.00109,1.38421,0.6183,0.66623,0.68484,0.42104,1.25858,1.71411,1.17068,0.00028,0.00028,0.00028
2,331.121,1.29695,1.10648,1.17255,0.81711,0.76882,0.86182,0.51795,1.30404,1.48381,1.2053,0.000576172,0.000576172,0.000576172
3,453.644,1.29499,0.98741,1.17938,0.75596,0.58333,0.67003,0.39061,1.32837,1.27383,1.23689,0.000868384,0.000868384,0.000868384
4,578.589,1.28586,1.00357,1.17903,0.592,0.63172,0.62772,0.38092,1.37695,1.24382,1.24692,0.00115664,0.00115664,0.00115664
5,701.704,1.26328,0.96609,1.16925,0.60481,0.48925,0.49702,0.2916,1.4745,1.88012,1.35346,0.00144093,0.00144093,0.00144093
6,842.812,1.30241,0.98091,1.1987,0.74759,0.62903,0.70077,0.42789,1.36204,1.23447,1.26361,0.00172126,0.00172126,0.00172126
7,976.819,1.30444,0.94949,1.20932,0.84,0.72849,0.84529,0.52445,1.31534,0.97894,1.21712,0.0019208,0.0019208,0.0019208
