epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5212.88,1.06561,0.65312,1.06729,0.87617,0.87903,0.9301,0.61893,1.16761,0.60453,1.12241,0.0014588,0.0014588,0.0014588
43,5313.56,1.04399,0.63002,1.06241,0.92079,0.87502,0.93417,0.6234,1.14895,0.61901,1.10886,0.0014456,0.0014456,0.0014456
44,5418.83,1.06701,0.65254,1.06696,0.89216,0.88961,0.93887,0.63905,1.12549,0.58616,1.09418,0.0014324,0.0014324,0.0014324
45,5529.18,1.04678,0.6202,1.05211,0.89489,0.89785,0.93875,0.63697,1.15189,0.59777,1.10033,0.0014192,0.0014192,0.0014192
46,5634.96,1.05796,0.64296,1.06449,0.90358,0.84409,0.90259,0.61397,1.1389,0.68282,1.10023,0.001406,0.001406,0.001406
47,5741.55,1.04177,0.6293,1.04832,0.85901,0.85484,0.90807,0.61854,1.14172,0.66662,1.1003,0.0013928,0.0013928,0.0013928
48,5845.3,1.07546,0.62452,1.06511,0.89643,0.88418,0.92942,0.63942,1.12429,0.58506,1.09084,0.0013796,0.0013796,0.0013796
49,5947.59,1.04169,0.61048,1.04488,0.91816,0.87455,0.94126,0.64521,1.14826,0.5835,1.10423,0.0013664,0.0013664,0.0013664
50,6050.93,1.04622,0.59999,1.05541,0.91177,0.8871,0.94041,0.64902,1.13376,0.55713,1.09554,0.0013532,0.0013532,0.0013532
51,6158.23,1.00889,0.59922,1.04926,0.90717,0.91945,0.9513,0.64851,1.11834,0.55149,1.09525,0.00134,0.00134,0.00134
52,6260.17,1.013,0.58359,1.04622,0.93733,0.88441,0.9544,0.64178,1.11628,0.54942,1.10103,0.0013268,0.0013268,0.0013268
53,6366.49,1.04904,0.62511,1.06328,0.89359,0.90054,0.94672,0.63584,1.13314,0.56568,1.09286,0.0013136,0.0013136,0.0013136
54,6470.84,1.01764,0.59732,1.04131,0.94542,0.9086,0.9578,0.65188,1.11845,0.53107,1.08646,0.0013004,0.0013004,0.0013004
55,6575.35,1.01147,0.58668,1.03281,0.91462,0.9086,0.93987,0.61755,1.14599,0.56843,1.09091,0.0012872,0.0012872,0.0012872
56,6680.54,1.00973,0.57158,1.02711,0.92862,0.90926,0.95127,0.63557,1.17011,0.55546,1.10004,0.001274,0.001274,0.001274
57,6786.17,1.0174,0.59111,1.0314,0.92184,0.8877,0.94025,0.65455,1.09918,0.54866,1.07816,0.0012608,0.0012608,0.0012608
58,6893.22,0.99252,0.58386,1.03707,0.93558,0.88441,0.93527,0.64055,1.12353,0.56906,1.08827,0.0012476,0.0012476,0.0012476
59,6997.01,1.00857,0.58002,1.02551,0.93878,0.89247,0.94867,0.64405,1.15373,0.55882,1.10387,0.0012344,0.0012344,0.0012344
60,7102.21,0.98138,0.57063,1.02655,0.94096,0.89972,0.94885,0.65589,1.12536,0.54179,1.08857,0.0012212,0.0012212,0.0012212
61,7207.88,0.97402,0.54798,1.0189,0.92811,0.90591,0.94664,0.6417,1.16078,0.57385,1.10519,0.001208,0.001208,0.001208
62,7313.9,0.97056,0.57984,1.02611,0.92383,0.89785,0.94605,0.64415,1.12035,0.54951,1.09426,0.0011948,0.0011948,0.0011948
63,7419.14,0.98661,0.57091,1.02625,0.94077,0.87634,0.93876,0.63907,1.13236,0.56937,1.11001,0.0011816,0.0011816,0.0011816
64,7525.19,0.97476,0.55782,1.01042,0.90495,0.80645,0.89057,0.58276,1.21207,0.68295,1.17085,0.0011684,0.0011684,0.0011684
65,7629.69,0.96688,0.56469,1.01514,0.88238,0.91935,0.95124,0.63351,1.14145,0.53973,1.11961,0.0011552,0.0011552,0.0011552
66,7735.09,0.97715,0.57041,1.01604,0.88664,0.88308,0.93688,0.635,1.14233,0.55876,1.11053,0.001142,0.001142,0.001142
67,7837.02,0.97266,0.56541,1.02836,0.90854,0.87634,0.93816,0.62409,1.16188,0.56913,1.13077,0.0011288,0.0011288,0.0011288
68,7935.93,0.98131,0.57043,1.03515,0.92127,0.88083,0.94192,0.63216,1.17415,0.5549,1.12356,0.0011156,0.0011156,0.0011156
69,8040.14,0.95392,0.53827,1.00808,0.89942,0.91342,0.94798,0.64337,1.13491,0.54124,1.10842,0.0011024,0.0011024,0.0011024
70,8144.36,0.97263,0.55743,1.03781,0.94152,0.8871,0.94408,0.6414,1.14101,0.55869,1.09902,0.0010892,0.0010892,0.0010892
71,8246.16,0.9751,0.55532,1.02015,0.90731,0.86022,0.91453,0.62269,1.15457,0.66589,1.11424,0.001076,0.001076,0.001076
72,8351.88,0.96531,0.53533,1.01206,0.93855,0.87097,0.9389,0.62678,1.15383,0.58576,1.11329,0.0010628,0.0010628,0.0010628
73,8456.16,0.97146,0.54211,1.01137,0.92961,0.88749,0.94409,0.63124,1.15662,0.57774,1.11452,0.0010496,0.0010496,0.0010496
74,8561.02,0.94912,0.54023,1.01607,0.92827,0.89516,0.9491,0.64077,1.14656,0.55578,1.10033,0.0010364,0.0010364,0.0010364
